len,standard,vinograd,opt_vinograd
4.0,49.18,49.78,49.7
10.0,608.8,452.56,442.16
16.0,2391.6,1596.08,1545.68
22.0,6014.22,3881.72,3750.78
28.0,12252.06,7784.64,7439.32
34.0,21937.68,13191.08,12734.44
40.0,34286.22,21011.48,20346.32
46.0,51940.4,31802.48,31114.14
52.0,75728.78,46198.98,44467.02
58.0,106426.24,63551.26,60865.68
64.0,140228.2,84930.5,81699.24
70.0,186538.56,110360.48,104340.26
76.0,234262.2,140966.54,132992.86
82.0,296745.06,176075.2,166776.0
88.0,365488.5,217110.78,207658.32
94.0,443201.06,263415.24,251650.72
100.0,538818.92,316688.32,305633.76
