len,standard,vinograd,opt_vinograd
5.0,279.84,219.44,185.76
11.0,1119.44,627.26,590.34
17.0,2817.32,1968.2,1910.74
23.0,6912.5,4578.38,4431.9
29.0,13717.74,8795.58,8518.78
35.0,23980.34,15068.12,14312.94
41.0,37826.54,23421.98,22695.06
47.0,56662.14,35014.34,33504.52
53.0,80815.22,49398.68,48168.9
59.0,112571.5,68110.72,65737.5
65.0,151266.12,90702.52,87376.1
71.0,191767.86,115627.1,110964.52
77.0,247003.34,148101.94,143579.58
83.0,308808.26,181623.9,178957.8
89.0,382926.68,225938.14,217564.8
95.0,462403.0,270946.18,265899.66
101.0,555144.74,326918.38,318142.04
